City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
470,Port Macquarie,AU,64.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
471,Minab,IR,84.88,clear sky,27.1467,57.0801,Bam campground
472,Rion,US,74.08,clear sky,34.3071,-81.1251,
473,Neiafu,TO,77.68,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
474,Along,IN,69.1,scattered clouds,28.1667,94.7667,Hotel West
475,Gorontalo,ID,84.42,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
476,Nishihara,JP,83.48,heavy intensity rain,26.1842,127.7558,Minshuku Agaihama
477,Ahipara,NZ,61.18,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
478,Rome,US,73.0,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
479,Mount Isa,AU,67.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
480,Huarmey,PE,64.42,broken clouds,-10.0681,-78.1522,Hotel Miramar
481,Bouake,CI,72.79,light rain,7.6895,-5.0218,Hotel Residence Nannan
482,General Pico,AR,60.96,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
484,Gamba,GA,75.58,overcast clouds,-2.65,10.0,
486,Broome,US,64.2,broken clouds,42.2506,-75.833,Chenango Valley State Park
487,Gilbues,BR,87.28,broken clouds,-9.8317,-45.3439,Hotel Camapuã
488,Gao,ML,86.85,overcast clouds,16.6362,1.637,
489,Mangaratiba,BR,65.91,heavy intensity rain,-22.9597,-44.0406,Portobello Resort & Safari
490,Rancho Palos Verdes,US,84.52,clear sky,33.7445,-118.387,Terranea Resort
492,Houma,US,81.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
493,Innisfail,AU,88.88,clear sky,-17.5333,146.0333,Moondarra Motel
494,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Punto de encuentro
498,Port Blair,IN,80.92,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
